pdf_name,category,final_category,predicted_confidence
atto_145__Vai_1.php,Lavori Pubblici,Personale,0.5
atto_18__Vai_1.php,Affari Generali,Contabilità,0.565
atto_1__Vai_2.php,Affari Generali,Da_Revisionare_Manualmente,0.265
atto_2072024__Vai_3.php,Contenzioso,Pubblicazione e Trasparenza,0.765
atto_22102021__Vai_1.php,Contabilità,Contabilità,0.605
atto_241__Vai_1.php,Ambiente,Da_Revisionare_Manualmente,0.415
atto_2672000__Vai_1.php,Contabilità,Regolamenti,0.85
atto_2672000__Vai_3.php,Contabilità,Da_Revisionare_Manualmente,0.275
atto_267__Vai_1.php,Contabilità,Servizi Sociali,0.51
atto_33__Vai_1.php,Contenzioso,Contenzioso,0.675
atto_362023__Vai_1.php,Ambiente,Da_Revisionare_Manualmente,0.355
atto_3__Vai_1.php,Pubblicazione e Trasparenza,Da_Revisionare_Manualmente,0.31
atto_4592001__Vai_1.php,Regolamenti,Da_Revisionare_Manualmente,0.28
atto_51392020__Vai_1.php,Contabilità,Contabilità,0.555
atto_78__Vai_1.php,Contenzioso,Contenzioso,0.71
atto_802021__Vai_2.php,Contabilità,Contabilità,0.995
atto_9253__Vai_2.php,Contabilità,Contabilità,0.975
atto__16112022_Vai_1.php,Personale,Da_Revisionare_Manualmente,0.29
atto___Vai_3.php,Affari Generali,Pubblicazione e Trasparenza,0.69
Avviso___Vai_1.php,Regolamenti,Da_Revisionare_Manualmente,0.275
Avviso___Vai_3.php,Affari Generali,Da_Revisionare_Manualmente,0.22
Bando___Vai_2.php,Pubblicazione e Trasparenza,Da_Revisionare_Manualmente,0.225
Delibera___Vai_1.php,Affari Generali,Regolamenti,0.97
Determinazione_362023__Vai_2.php,Contabilità,Contabilità,0.995
Ordinanza_4102025__Vai_2.php,Contabilità,Contabilità,0.95
Ordinanza_41__Vai_1.php,Affari Generali,Da_Revisionare_Manualmente,0.455
Ordinanza___Vai_1.php,Contenzioso,Da_Revisionare_Manualmente,0.36
